skill_name,Model,TrainLen,HorizonUsed,MAE,RMSE,sMAPE(%)
Information Technology,SES,9,7,2202.6530821609344,3250.525308455373,117.68899799613017
Information Technology,MA(7),9,7,2276.4897959183672,3345.2093677803955,127.50329954862372
Information Technology,Naive,9,7,2596.4285714285716,3785.141156077085,200.0
Sales,SES,9,7,1730.85714520514,2472.8966903637615,112.54892633878586
Sales,MA(7),9,7,1828.673469387755,2607.158853179891,127.85396223818684
Sales,Naive,9,7,2098.714285714286,2991.3241454006857,200.0
Management,MA(7),21,7,2229.795918367347,3224.2106200508956,128.3387677209694
Management,SES,21,7,2235.9994427548218,3232.582595476819,129.2226285678712
Management,Naive,21,7,2542.1428571428573,3660.3858305609574,200.0
Manufacturing,MA(7),21,7,1576.142857142857,2289.1751789673067,127.83073274007108
Manufacturing,SES,21,7,1576.9296202584317,2290.229535663155,127.99350952172955
Manufacturing,Naive,21,7,1791.142857142857,2592.594122826457,200.0
Health Care Provider,MA(7),9,7,1317.0,1921.0150218792444,121.91330476936406
Health Care Provider,SES,9,7,1317.6079287575358,1923.1865908987636,122.09108977081138
Health Care Provider,Naive,9,7,1499.7142857142858,2231.9408594315396,200.0
Business Development,SES,9,7,1058.8668082511533,1517.425382055189,109.68297436601479
Business Development,MA(7),9,7,1121.734693877551,1610.6943426069774,125.46443662894862
Business Development,Naive,9,7,1295.4285714285713,1853.8646891599954,200.0
Engineering,SES,9,7,1104.4285758925334,1636.898684603429,115.63785877680554
Engineering,MA(7),9,7,1154.9387755102039,1701.8651353075866,128.667084063226
Engineering,Naive,9,7,1311.2857142857142,1912.3531129400315,200.0
Other,SES,9,7,1093.3566079136162,1591.2771471528547,121.83918347355716
Other,MA(7),9,7,1107.530612244898,1644.6605319354273,126.54037726414786
Other,Naive,9,7,1249.4285714285713,1849.1395682471193,200.0
Finance,SES,9,7,682.0356539808935,974.1101953603254,117.59228887451003
Finance,MA(7),9,7,718.8979591836734,1021.8446105760236,132.93206822924816
Finance,Naive,9,7,817.4285714285714,1164.5245504374,200.0
Marketing,SES,9,7,463.76021027779086,673.317290417067,115.41217553582075
Marketing,MA(7),9,7,492.63265306122446,710.8254615126655,132.8074906031469
Marketing,Naive,9,7,556.8571428571429,799.8760618281524,200.0
Accounting/Auditing,SES,9,7,438.4223643864379,640.7144523257714,116.3801547305019
Accounting/Auditing,MA(7),9,7,466.6734693877552,677.4114144962394,135.52639188168337
Accounting/Auditing,Naive,9,7,522.2857142857143,756.16324768059,200.0
Administrative,SES,9,7,386.53306096334364,557.8282389637418,111.8113569909114
Administrative,MA(7),9,7,406.85714285714283,582.7979311660505,125.31106353564057
Administrative,Naive,9,7,474.0,677.7561719168838,200.0
Customer Service,MA(7),9,7,364.81632653061234,542.2913592962246,124.46347369819539
Customer Service,SES,9,7,374.42856978092885,554.7595338760036,132.92763961426596
Customer Service,Naive,9,7,422.14285714285717,621.3022039003472,200.0
Project Management,SES,9,7,320.56174796285177,470.0866837350257,106.62751825950821
Project Management,MA(7),9,7,341.6530612244898,497.0522700719447,122.42293400477134
Project Management,Naive,9,7,395.7142857142857,565.5078627721659,200.0
Analyst,SES,9,7,354.5534107178719,535.1980910849433,127.50640128991637
Analyst,MA(7),9,7,365.02040816326536,548.92414256044,137.9076603412259
Analyst,Naive,9,7,404.14285714285717,603.5318668353099,200.0
Research,SES,9,7,274.5336420247155,429.01993855978407,117.27827678338147
Research,MA(7),9,7,283.73469387755097,444.57819954447166,128.48785159821588
Research,Naive,9,7,315.2857142857143,484.82353196070954,200.0
Human Resources,SES,9,7,226.57142887796675,330.87546322485593,115.46466748766149
Human Resources,MA(7),9,7,236.6326530612245,346.2940534120842,128.5176188595165
Human Resources,Naive,9,7,268.42857142857144,390.05732179477707,200.0
Consulting,SES,9,7,212.97363613732568,307.54054624072324,121.38641540125315
Consulting,MA(7),9,7,224.81632653061223,324.0569362923492,137.32602615198803
Consulting,Naive,9,7,249.0,354.9348028662649,200.0
Legal,SES,9,7,174.0352970760694,256.2929757940188,100.69116820143556
Legal,MA(7),9,7,186.79591836734696,273.3603811074013,117.46242372711528
Legal,Naive,9,7,220.42857142857142,316.90264390548356,200.0
Education,SES,9,7,190.42857104539874,281.9369225524641,120.22522670004822
Education,MA(7),9,7,190.42857142857142,281.9369230367469,120.22522731093197
Education,Naive,9,7,220.71428571428572,323.85424411079043,200.0
