ds,y_actual,y_pred,skill,freq
2024-04-14,0.0,-13.947304731942193,Writing/Editing,D
2024-04-15,83.0,-18.948117671624445,Writing/Editing,D
2024-04-16,52.0,81.04516161791217,Writing/Editing,D
2024-04-17,113.0,-18.949357194269318,Writing/Editing,D
2024-04-18,431.0,86.04361999950359,Writing/Editing,D
2024-04-19,328.0,41.0816247905279,Writing/Editing,D
2024-04-20,3.0,5.0828871536766105,Writing/Editing,D
2024-04-14,0.0,-20.476325077165484,Quality Assurance,D
2024-04-15,123.0,-25.486648762354783,Quality Assurance,D
2024-04-16,83.0,107.50409368619029,Quality Assurance,D
2024-04-17,130.0,-25.488380246115142,Quality Assurance,D
2024-04-18,450.0,118.50598776442115,Quality Assurance,D
2024-04-19,460.0,31.790187186997912,Quality Assurance,D
2024-04-20,13.0,-2.7175950609092716,Quality Assurance,D
2024-04-14,0.0,-144.3584026126407,Accounting/Auditing,D
2024-04-15,416.0,-154.38007740322806,Accounting/Auditing,D
2024-04-16,210.0,140.59612177298487,Accounting/Auditing,D
2024-04-17,309.0,-154.39665039015944,Accounting/Auditing,D
2024-04-18,1449.0,220.5947114283094,Accounting/Auditing,D
2024-04-19,1261.0,-37.04328424494903,Accounting/Auditing,D
2024-04-20,11.0,-94.55403863014793,Accounting/Auditing,D
2024-04-14,0.0,-188.1131299487462,Engineering,D
2024-04-15,845.0,-207.13410720823322,Engineering,D
2024-04-16,501.0,670.7989809874607,Engineering,D
2024-04-17,948.0,-207.17214465193007,Engineering,D
2024-04-18,3847.0,609.7641216803926,Engineering,D
2024-04-19,2989.0,219.79115161530638,Engineering,D
2024-04-20,49.0,-22.711791762989854,Engineering,D
2024-04-14,0.0,-385.4323080016319,Information Technology,D
2024-04-15,1572.0,-435.4318723081861,Information Technology,D
2024-04-16,974.0,1475.4382500805473,Information Technology,D
2024-04-17,1969.0,-435.434250768008,Information Technology,D
2024-04-18,7379.0,1165.4586976462942,Information Technology,D
2024-04-19,6208.0,445.40100011232346,Information Technology,D
2024-04-20,73.0,7.911077966161628,Information Technology,D
