skill_name,Model,TrainLen,HorizonUsed,MAE,RMSE,sMAPE(%)
Legal,SES,9,7,174.0352970760694,256.2929757940188,100.69116820143556
Education,SES,9,7,190.42857104539874,281.9369225524641,120.22522670004822
Consulting,SES,9,7,212.97363613732568,307.54054624072324,121.38641540125315
Human Resources,SES,9,7,226.57142887796675,330.87546322485593,115.46466748766149
Research,SES,9,7,274.5336420247155,429.01993855978407,117.27827678338147
Project Management,SES,9,7,320.56174796285177,470.0866837350257,106.62751825950821
Analyst,SES,9,7,354.5534107178719,535.1980910849433,127.50640128991637
Customer Service,MA(7),9,7,364.81632653061234,542.2913592962246,124.46347369819539
Administrative,SES,9,7,386.53306096334364,557.8282389637418,111.8113569909114
Accounting/Auditing,SES,9,7,438.4223643864379,640.7144523257714,116.3801547305019
Marketing,SES,9,7,463.76021027779086,673.317290417067,115.41217553582075
Finance,SES,9,7,682.0356539808935,974.1101953603254,117.59228887451003
Business Development,SES,9,7,1058.8668082511533,1517.425382055189,109.68297436601479
Other,SES,9,7,1093.3566079136162,1591.2771471528547,121.83918347355716
Engineering,SES,9,7,1104.4285758925334,1636.898684603429,115.63785877680554
